floor,floors_count,rooms_count,total_meters,price_per_month,district,street,house_number,underground,lat,lon,geo_quality,dist_to_center_km,dist_to_metro_km,parks_1km,groceries_top_1km,schools_1km,pharmacies_top_1km,clinics_1km
19,19,1,19.9,37900,Митино,Муравская ,38Бк3,Пятницкое шоссе,55.8608767,37.3636549,0,19.953321477556667,1.0401177670777215,0,1,1,0,0
8,12,1,35.0,38000,Бабушкинский, Летчика Бабушкина,33К1,Бабушкинская,55.871512,37.6756309,1,13.77409705691374,0.7109670250251819,3,5,4,3,2
4,19,1,19.7,40000,Митино,Муравская ,38Бк3,Пятницкое шоссе,55.8608767,37.3636549,0,19.953321477556667,1.0401177670777215,0,1,1,0,0
14,14,1,19.0,36800,Филимонковское, Усадебный Парк,7,Филатов луг,55.5705313,37.2829889,1,29.11175130168023,8.470497709213326,0,3,1,0,0
2,19,1,19.0,40000,Митино,Муравская ,38Бк3,Пятницкое шоссе,55.8608767,37.3636549,0,19.953321477556667,1.0401177670777215,0,1,1,0,0
4,16,1,22.0,40000,Филимонковское,проспект Новосередневский,17к1,Филатов луг,55.5560485,37.3133849,1,28.9629493948857,7.65219478832727,0,0,0,0,0
3,5,1,33.0,40000,Преображенское,Большая Черкизовская ,30К3,Черкизовская,55.7986435,37.7420814,1,9.358412074589042,0.4924442418119774,2,3,2,0,0
2,2,1,11.0,35000,Люблино,Егорьевский проезд,3ЖС1,Депо,55.6714755,37.7347991,0,11.584940579882614,0.5043388722611296,1,1,0,0,0
4,5,1,36.0,35000,Черемушки, Архитектора Власова,13К4,Профсоюзная,55.6774762,37.5552546,1,9.160360063795482,0.4607318938132668,6,6,9,2,2
9,15,1,34.3,37000,Кокошкино, Аэростатная,15к10,Кокошкино,55.5881182,37.1731781,1,33.29422632284712,1.2951711470598823,0,0,0,0,0
9,19,1,36.0,39000,Некрасовка,Рождественская ,6,Некрасовка,55.6998482,37.9141358,1,19.46019137512714,0.8400536212943543,2,7,5,2,0
6,16,1,32.0,40000,Марфино,Ботаническая ,33К8,Владыкино,55.840218,37.5849927,1,10.015115785393526,0.8915589212363099,3,2,1,0,0
1,16,1,36.0,35000,Гольяново,Красноярская ,1,Щелковская,55.8161779,37.8349541,1,15.354440323829284,2.394502724744018,0,3,2,1,1
5,14,1,42.0,40000,Братеево, Борисовские Пруды,44,Алма-Атинская,55.643367,37.7725891,1,15.505731660332534,1.1808185492334695,0,3,2,0,2
7,17,1,38.0,40000,Десёновское,проспект Нововатутинский,14,Ольховая,55.5201789,37.3494049,1,30.78526587928735,8.784158685174551,1,3,3,1,1
13,22,1,38.0,40000,Строгино,Таллинская ,26,Строгино,55.7998709,37.4075292,1,14.168285713178678,0.5444841518748148,1,2,3,3,1
22,24,1,39.9,33000,Косино-Ухтомский,Лухмановская ,20,Лухмановская,55.7208004,37.9038769,1,18.261123254493764,1.4618920978824848,1,4,2,1,0
15,17,1,38.0,32000,Троицк, Текстильщиков,3к3,Ольховая,55.4904566,37.3071388,1,35.00936766032472,12.957039579658275,3,3,4,0,0
12,12,1,33.0,40000,Северное Тушино, Свободы,63,Сходненская,55.8546463,37.4490046,1,15.52735512991218,0.7896430166886066,2,7,4,2,2
6,9,1,36.0,33000,Ярославский,Холмогорская ,2К1,Медведково,55.8808766,37.7185503,1,15.657047006237136,3.6437865241274654,0,6,3,0,2
3,9,1,33.0,35000,Гольяново,Алтайская ,26,Щелковская,55.819827,37.822275,1,14.85824822920092,1.85855709513156,7,13,6,2,2
21,23,1,38.0,40000,Можайский,Барвихинская ,4К2,Сетунь,55.7161933,37.3910358,1,14.727205240170813,0.9225288127043588,4,0,3,0,0
4,5,1,35.0,37999,Измайлово,11-я Парковая ,37К1,Первомайская,55.8006962,37.8046517,1,12.89505691159099,0.7766119273418057,4,5,3,1,6
1,4,0,17.0,40000,Солнцево, 50 лет Октября,2К2,Говорово,55.6537986,37.4167658,1,16.657677003995335,0.5575515207143626,0,2,1,0,2
1,5,2,48.0,40000,Дмитровский,Карельский бульвар,22,Лианозово,55.893768,37.5348672,0,16.584948774830334,1.2127686433313083,1,8,3,2,3
1,4,1,20.0,38000,Хорошевский,1-й Хорошевский проезд,10К2,Беговая,55.7763822,37.5458105,1,5.239200722316654,0.3204526102998629,4,1,2,2,3
11,16,1,34.8,40000,Бибирево, Лескова,30К1,Бибирево,55.8917001,37.6173803,1,15.531386658302123,1.249554147690523,0,9,5,1,2
12,12,1,39.4,40000,Ивановское,Челябинская ,24К1,Первомайская,55.7783239,37.8335636,1,13.829056042927022,2.785324705730386,1,4,3,1,1
8,9,1,33.0,40000,Ясенево,Новоясеневский проспект,19К4,Новоясеневская,55.6057483,37.5485977,1,16.82886606082084,0.5056920182556446,3,5,8,0,0
8,16,1,38.0,40000,Братеево, Борисовские Пруды,20К2,Борисово,55.6373622,37.7534387,1,15.334053959746424,0.8334432833870281,1,7,2,0,0
7,17,1,20.0,35000,Щербинка, Мостотреста,10к2,Щербинка,55.5122499,37.5730248,1,26.80730437700188,0.748366206562758,0,5,4,0,0
1,21,2,60.0,40000,Сосенское,проспект Куприна,24к1,Потапово,55.5447833,37.4803814,1,24.59760540285817,1.089881245819698,0,2,2,2,0
1,5,1,14.0,40000,Алексеевский,Ракетный бульвар,8,ВДНХ,55.8177187,37.6510387,1,7.6000759318409346,0.6767703299078208,4,10,1,0,1
5,5,1,33.0,40000,Преображенское,Просторная ,10К1,Бульвар Рокоссовского,55.8053656,37.7191684,1,8.695093442214896,1.7238576904523966,2,10,5,4,2
3,12,1,36.0,35000,Гольяново,Уральская ,3,Щелковская,55.8244945,37.8045086,1,14.19986866488704,1.662408725848659,2,4,0,1,0
1,5,1,33.0,36000,Очаково-Матвеевское,Матвеевская ,28,Аминьевская,55.7036808,37.4637267,1,11.027542584782532,0.5436283947150228,0,4,3,4,0
18,25,1,21.0,40000,Южное Бутово,Бартеневская ,18к2,Бунинская аллея,55.5477084,37.5146033,1,23.618192055454056,1.0851483928170982,1,0,3,0,2
2,5,1,32.0,40000,Покровское-Стрешнево,Волоколамское шоссе,96/2,Тушинская,55.8253704,37.4326835,1,14.142972386446427,0.2713764550050447,1,5,1,0,3
2,9,1,33.0,40000,Тимирязевский,Дмитровское шоссе,41К1,Петровско-Разумовская,55.8324207,37.5706715,1,9.406892970212862,0.824894846258953,0,3,2,0,1
1,14,1,20.0,36000,Восточное Дегунино,Бескудниковский бульвар,8К1,Верхние Лихоборы,55.859662,37.5646914,1,12.415512521975677,0.4600727659264297,1,7,5,1,3
