floor,floors_count,rooms_count,total_meters,price_per_month,district,street,house_number,underground,lat,lon,geo_quality
11,17,1,24.0,30000,Рязановское, Уточкина,5к2,Силикатная,55.4744549,37.5252947,1
11,29,-1,21.0,29000,Митино,Пятницкое шоссе,56Б,Пятницкое шоссе,55.8551998,37.3561824,1
4,19,1,23.0,26000,Молжаниновский,Синявинская ,11к3,Подрезково,55.9486903,37.3475059,1
2,23,1,27.0,30000,Щербинка, Барышевская Роща,18,Щербинка,55.5032062,37.5368944,1
2,8,1,25.0,30000,Филимонковское, Братьев Бромлей,5к2,Филатов Луг,55.5664977,37.2875472,1
1,3,1,20.0,29000,Бабушкинский, Радужная,2,Троицк,55.8598367,37.6635309,0
1,15,-1,20.0,27000,Щербинка, Барышевская Роща,2,Щербинка,55.500556,37.5429431,1
7,8,1,45.5,25000,Московский, Татьянин Парк,12к5,Говорово,55.6558112,37.4228045,1
3,4,1,36.8,17000,Краснопахорское, Ирландская,4к2,Потапово,55.4336693,37.3248717,1
6,22,1,35.4,30000,Внуковское,бульвар Андрея Тарковского,10,Рассказовка,55.6248171,37.3388448,1
6,22,1,35.1,20000,Внуковское,бульвар Андрея Тарковского,10,Рассказовка,55.6248171,37.3388448,1
11,13,1,34.2,30000,Покровское-Стрешнево, Николая Озерова,8к1,Спартак,55.8151646,37.4295902,1
10,16,2,40.3,23000,Сосенское, Лобановский Лес,11,Ольховая,55.593554,37.4299227,1
9,18,1,35.0,15000,Рязановское, Уточкина,7к1,Силикатная,55.4753048,37.5255568,1
15,39,3,96.0,25000,Раменки, Василия Ланового,3,Аминьевская,55.6955027,37.4783801,1
1,2,-1,15.0,28000,Молжаниновский,Синявинская ,26,Подрезково,55.9501557,37.3467115,1
3,5,1,35.0,30000,Южное Бутово, Типографская,14,Щербинка,55.5079978,37.5842633,1
8,41,3,84.1,30000,Коньково, Академика Волгина,2К1,Университет Дружбы Народов,55.6476021,37.5125855,0
6,24,1,23.7,20000,Покровское-Стрешнево, Николая Озерова,8к1,Спартак,55.8151646,37.4295902,1
7,24,1,20.9,30000,Солнцево,Производственная ,17,Солнцево,55.6434402,37.3820192,1
2,9,1,44.1,30000,Внуковское, Бориса Пастернака,4,Мичуринец,55.6371996,37.3141923,1
4,41,3,70.0,20000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,55.764544,37.5111189,1
15,24,1,22.0,20000,Покровское-Стрешнево, Николая Озерова,8к1,Спартак,55.8151646,37.4295902,1
12,25,3,80.0,20000,Покровское-Стрешнево,Волоколамское шоссе,81/2с1,Трикотажная,55.8249888,37.4125157,1
11,19,-1,40.0,25000,Сосенское, Лазурная,14,Новомосковская,55.5666586,37.4715198,1
8,20,-1,57.0,30000,Бирюлево Восточное,6-я Радиальная ,7/1к1,Царицыно,55.6078868,37.6648622,1
1,17,-1,90.0,21000,Ново-Переделкино,Боровское шоссе,39,Новопеределкино,55.6401324,37.3576521,1
5,15,1,37.3,38000,Щербинка, Барышевская Роща,12,Щербинка,55.5036662,37.5398515,1
11,14,1,17.9,34800,Сосенское,проспект Куприна,30к9,Потапово,55.543521,37.4602928,1
1,14,1,37.0,35000,Марьино, Верхние Поля,38К1,Люблино,55.6666602,37.7720115,1
2,19,1,19.6,37000,Митино,Муравская ,38Бк3,Пятницкое шоссе,55.8608767,37.3636549,0
10,16,1,34.7,39000,Вешняки, Красный Казанец,5,Вешняки,55.7217291,37.8081338,1
11,16,1,45.0,37000,Текстильщики, 8-я Текстильщиков,12К2,Текстильщики,55.7026216,37.7443398,1
2,14,1,22.0,36800,Филимонковское, Усадебный Парк,7к1,Филатов Луг,55.5709856,37.2823747,1
19,19,1,19.9,37900,Митино,Муравская ,38Бк3,Пятницкое шоссе,55.8608767,37.3636549,0
8,12,1,35.0,38000,Бабушкинский, Летчика Бабушкина,33К1,Бабушкинская,55.871512,37.6756309,1
