"author","author_type","url","location","deal_type","accommodation_type","floor","floors_count","rooms_count","total_meters","price_per_month","commissions","district","street","house_number","underground","residential_complex"
"Игорь Лизун","realtor","https://www.cian.ru/rent/flat/317769807/","Москва","rent","flat","9","22","1","30","30000","0",""," Барышевская Роща","18","Щербинка",""
"ID 130729020","realtor","https://www.cian.ru/rent/flat/317402319/","Москва","rent","flat","2","2","-1","21","28000","0",""," Железнодорожная","22А","Щербинка",""
"Ринат Асьянов","realtor","https://www.cian.ru/rent/flat/316872422/","Москва","rent","flat","4","17","1","28","30000","0",""," 3-я Нововатутинская","8","Ольховая",""
"Юлия Денисова","realtor","https://www.cian.ru/rent/flat/317668525/","Москва","rent","flat","6","9","1","29.5","26000","0","","","18","Апрелевка",""
"InHome24","real_estate_agent","https://www.cian.ru/rent/flat/302073150/","Москва","rent","flat","4","4","-1","16","24990","0","","","322","Тропарёво",""
"Валерий Ефимов","realtor","https://www.cian.ru/rent/flat/317854750/","Москва","rent","flat","5","5","1","21","30000","0","Ярославский","Холмогорская ","3","Медведково",""
"Дина Медведева","realtor","https://www.cian.ru/rent/flat/315142680/","Москва","rent","flat","3","9","1","35","30000","0","Троицк"," Школьная","9","",""
"ID 56612394","homeowner","https://www.cian.ru/rent/flat/317113504/","Москва","rent","flat","18","19","1","29.6","29000","0",""," Барышевская Роща","12","Щербинка",""
"СТОЛИЦА Департамент недвижимости","real_estate_agent","https://www.cian.ru/rent/flat/315142235/","Москва","rent","flat","4","22","2","68","28000","0","Лефортово"," Крузенштерна","2","Площадь Ильича",""
"Оксана Гаврош","realtor","https://www.cian.ru/rent/flat/223375336/","Москва","rent","flat","5","5","1","32","30000","0","Троицк"," Школьная","5","",""
"ID 1391332","homeowner","https://www.cian.ru/rent/flat/311950887/","Москва","rent","flat","9","25","2","64","25000","0","Савеловский"," Юннатов","4кВ","Гражданская",""
"Ольга Колобова","realtor","https://www.cian.ru/rent/flat/308645527/","Москва","rent","flat","1","2","1","25","25000","0","","шоссе Рязановское","","Силикатная",""
"Вероника Думанова","realtor","https://www.cian.ru/rent/flat/309994573/","Москва","rent","flat","5","16","1","20","28000","0",""," Дзержинского","6","Кокошкино",""
"ID 119766363","homeowner","https://www.cian.ru/rent/flat/315491189/","Москва","rent","flat","1","12","1","14","26800","0","Можайский","Сколковское шоссе","10","Сетунь",""
"ФЛЭТ Зеленоград","real_estate_agent","https://www.cian.ru/rent/flat/317771034/","Москва","rent","flat","9","16","1","20","30000","0","Крюково","проспект Георгиевский","37к1","Зеленоград — Крюково",""
"Роман Понкратов","realtor","https://www.cian.ru/rent/flat/264381789/","Москва","rent","flat","7","17","1","43","30000","0","Южное Бутово"," Маршала Савицкого","12","Щербинка",""
"ID 96729356","homeowner","https://www.cian.ru/rent/flat/317671169/","Москва","rent","flat","6","12","1","46","25000","0",""," Гореловская","3","Силикатная",""
"ФОРУМ","real_estate_agent","https://www.cian.ru/rent/flat/317384829/","Москва","rent","flat","2","5","1","22","30000","0","Головинский","Онежская ","15","Коптево",""
